canyudu,jiaoshiqinggan,jiatingnianshouru,muqinxueli,muqinzhiye,nianji,sex,xuexilequ,xueyeyali,juandai
25,26,4,3,3,6,1,27,33,1
30,27,1,3,3,5,2,27,30,1
50,44,2,1,1,6,1,41,20,0
29,27,1,2,3,6,2,30,35,1
50,45,1,3,1,1,2,44,10,0
50,45,2,2,1,1,1,45,10,0
29,44,2,2,2,1,1,36,30,0
50,45,1,2,1,2,1,45,50,1
39,36,2,2,2,1,2,35,25,0
20,23,3,2,2,1,2,26,33,0
30,35,1,1,1,1,1,31,20,0
40,36,2,1,1,1,1,36,22,0
29,34,1,2,1,1,2,33,27,0
37,44,4,2,2,6,1,39,44,1
40,31,2,2,1,1,2,34,31,0
36,36,1,2,1,1,1,36,28,0
40,34,2,2,1,1,1,36,20,0
46,35,1,2,1,1,1,35,10,0
25,41,2,3,1,6,1,28,44,0
10,29,3,2,1,1,1,21,46,0
31,29,1,2,1,1,1,35,23,0
32,31,1,2,1,1,1,37,29,0
32,36,1,2,1,1,2,34,26,0
30,36,2,2,1,1,2,36,20,0
39,39,2,2,1,1,1,34,24,0
42,40,1,2,1,1,1,45,22,0
50,44,2,2,1,1,2,45,12,0
39,35,2,2,2,1,2,36,17,0
40,43,3,1,1,1,2,36,39,0
30,36,1,2,1,1,1,36,22,0
10,21,1,2,1,2,1,21,32,1
32,26,2,2,1,4,1,34,25,0
26,27,4,4,2,1,1,27,36,0
30,27,2,1,1,4,1,27,30,1
33,37,2,2,1,2,2,36,32,0
30,21,2,2,3,6,2,26,32,0
10,45,2,2,1,6,1,33,36,1
24,32,1,2,1,2,2,25,30,1
10,42,5,2,2,5,1,45,46,1
48,36,1,2,3,6,2,45,27,0
32,36,1,2,1,5,2,33,37,0
26,41,3,3,2,5,1,25,50,1
32,32,1,2,1,2,2,33,40,0
10,9,2,2,2,4,1,21,42,1
40,36,1,3,2,4,2,36,25,0
30,45,1,2,1,1,1,37,37,0
44,34,5,2,3,6,2,32,30,0
34,27,2,1,1,5,1,34,17,0
36,36,4,2,2,4,1,36,39,1
29,21,1,1,1,1,2,24,44,1
20,22,3,3,1,5,1,21,30,1
30,27,1,2,1,6,2,27,30,1
38,35,1,2,1,1,2,39,23,0
37,33,1,2,1,1,1,39,27,0
30,27,4,4,3,5,2,27,30,1
30,27,2,2,3,1,2,27,35,0
40,37,1,2,1,1,2,41,19,0
26,28,1,1,1,6,2,29,27,0
50,45,5,2,2,4,1,45,14,0
31,38,2,2,1,5,2,32,33,0
30,31,3,2,2,4,2,25,40,0
40,28,5,5,5,4,2,27,50,1
32,30,1,2,1,1,1,27,37,1
27,29,1,2,3,2,2,28,40,0
30,27,4,2,1,4,2,27,23,0
30,33,2,2,1,5,2,31,38,0
33,39,1,2,1,1,1,34,39,0
30,33,1,2,3,4,1,31,46,1
38,45,2,3,1,6,1,38,40,0
31,34,2,2,1,1,2,31,35,0
30,27,1,3,3,6,2,27,31,0
39,36,1,2,2,2,1,36,20,0
34,32,3,3,3,6,2,29,28,0
30,34,1,2,1,2,2,29,33,1
24,41,2,2,3,4,2,38,28,0
34,37,2,3,2,6,2,35,26,0
30,27,5,3,1,6,2,27,30,1
39,45,2,2,1,4,1,40,33,0
30,36,2,4,4,4,1,41,30,1
40,44,2,2,1,1,2,34,24,0
10,45,1,2,3,4,1,45,30,0
30,29,3,2,3,1,2,26,36,0
26,27,2,2,1,2,2,26,32,1
30,29,2,2,1,5,2,27,29,1
40,36,2,2,1,1,2,36,40,1
40,24,1,2,1,6,2,32,30,0
34,29,2,3,4,1,2,29,32,0
14,24,1,1,1,6,1,13,47,1
31,31,2,2,3,6,1,30,30,0
40,36,2,2,1,1,2,43,22,0
30,45,1,2,3,6,1,45,22,0
50,9,4,2,1,6,1,9,18,0
20,36,2,2,3,6,2,32,25,1
37,44,4,2,3,4,2,33,33,0
30,27,2,2,1,5,2,26,41,1
22,30,2,2,1,6,1,26,26,0
16,43,2,2,1,6,2,25,35,1
31,33,1,2,1,6,2,31,17,0
31,30,2,2,1,6,2,30,31,1
26,30,2,2,1,4,2,23,41,1
30,27,1,3,1,6,1,27,31,1
21,35,2,1,1,6,1,24,16,0
38,35,2,2,1,4,2,35,20,0
21,17,3,2,1,5,1,18,37,0
30,27,1,2,3,5,2,27,32,0
30,27,2,1,1,2,1,27,20,0
22,28,1,2,3,6,1,9,46,1
20,36,1,2,1,2,2,36,37,0
36,44,5,4,4,4,1,36,24,0
30,21,5,4,4,4,2,32,29,0
35,35,3,1,1,6,1,34,34,0
33,35,3,2,2,1,2,34,33,0
46,39,2,2,1,1,2,43,34,0
30,27,1,4,1,6,1,27,31,1
29,36,2,2,1,2,1,35,22,0
40,36,3,2,1,6,2,45,11,0
